Luca, Rome, archivio sforico
Decreti, Congregazioni 1755-60"
ASR ABA 11,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,"3065, 3172",,,,,,,,,,
ASR ABA 12,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,,,,,,,,,,,
ASR ABA 13,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,,,,,,,,,,,
ASR ABA 14,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,,,,,,,,,,,
ASR ABA 15,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,,,,,,,,,,,
ASR ABA 16,"Archivio di Stato di Roma, camerale II, Antichità e Belle Arti, 113/6, Permessi di esportazione",,,,,,,,,,,,
ARS C 1024,"Archivio di Stato di Roma, Civitavecchia, Atti del Consolato del Mare MSS, 1768-76",,,,,,,,,,,,
ASR CO iv,"Archivio di Stato di Roma, camerale II, Consolati, Ancona 1790-94 ",,,,,,,,,,,,
ASR CO v,"Archivio di Stato di Roma, camerale II, Consolati, Civitavecchia 1770-94",,,,,,,,,,,,
ASR TF,"Archivio di Stato di Roma, camerale III, Teatri, Feste religiosi",,,,,,,,,,,,
Assheton list MSS,"William Assheton, 'List of People seen since leaving England 18th June 1783'; priv.coll.",,,"384, 503, 507, 1010, 1078, 1297, 3960.1, 3960.2, 4250, 4311",,,,,,,,,
AST AR,"Archivio di Stato di Torino (.1), Istruzione pubblica, Accademia reale (mazz.1)",,,"3416.1, 3416.2",,,,,,,,,
AST CD,"Archivio di Stato di Torino (sez.1), Carteggio Diplomatico",,,,,,,,,,,,
AST CE,"Archivio di Stato di Torino (sez.1), Corti estere, Toscana 
(mazz.4 di 2a add.)",,,3288,,,,,,,,,
AST CF,"Archivio di Stato di Torino (sez.1), Cerimoniale, Funzioni diverse,
 mazz.1 d'add. (nota dei forestieri 
presentati a corte 1779-86)",,,"128, 970, 2137, 2414, 4772",,,,,,,,,
