Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
"[Mrs Anne Miller], Letters from Italy ... in the years mdcclxx and mdcclxxi ... by an English Woman, 2nd ed. [1777]","Miller, Letters","Miller, Letters",,,
"letters from John Milles in Italy 1734; Glos.RO, Gloucester, D2663 Z8 ",Milles Letters MSS,Milles Letters MSS,,,
"journal of John Mitford in Italy 1776-7; Glos.RO, Gloucester, Mitford & Freeman-Mitford MSS, D2002/Fl-6.",Mitford jnls. MSS,Mitford jnls.MSS,,,
"Complete Letters of Lady Mary Wortley Montagu, ed. R Halsband, 3 vols. [1965-7]",Montagu Letters,Montagu Letters,,,
"A. de Montaiglon and J. Guiffrey, ed., Correspondance des Directeurs de l'Académie de France in Rome avec le Surintendants des Bâtiments [1887-1912]",Montaiglon,Montaiglon,,,
"A.W. Moore, Norfolk and the Grand Tour, exh.cat. Norwich [1985]",Moore 1985,Moore 1985,,,
"P. Andrew, 'Jacob More: Biography and a Checklist', Wal.Soc., 55[1993]:105-96",More 1993,More 1993,,,
"Jacob More, letterbook, Rome, 1786-7; Edinburgh U. Lib., Laing MSS iv.25",More Letters MSS,More Letters MSS,,,
"The Journal of Dr John Morgan of Philadelphia from the City of Rome to the City of London 1764 together with a fragment of a Journal written at Rome 1764 and a biographical sketch [pub. priv., Pha.1907]",Morgan Jnl.,Morgan Jnl.,,,
"Memoirs of the 1st Earl of Morley; BL, Add.48244,ff.226-52 ",Morley MSS,Morley MSS,,,
"accounts of the 1st Earl of Morley's continental tour 1793-4; BL, Add.48422,ff.16-19",Morley accts. MSS,Morley accts.MSS,,,
"E. Morpurgo, 'English Physicians - Doctorati - at the University of Padua in the Collegio Veneto Artista 1671-1771', Proceedings of the Royal Soc. of Medicine, 20[1927]:63-74 ",Morpurgo,Morpurgo,,,
"The collection of Autograph Letters and Historical Documents formed by Alfred Morrison (2nd ser., 1882-93): The Hamilton and Nelson Papers, vol.1 1756-97 [1893], vol.2 1798-1815 [1894]",Morrison,Morrison,,,
"The Letters of John B.S. Morritt of Rokeby, ed. G.E. Marindin [1914]",Morritt Letters,Morritt Letters,,,
"Richard Edgcumbe, 2nd Earl of Mount Edgcumbe, Musical Reminiscences of an Old Amateur; chiefly respecting the Italian Opera in England for fifty years, from 1773 to 1823 [1824]",Mount Edgcumbe,Mount Edgcumbe,,,
"Memorials of John Murray of Broughton', ed. RF. Bell, Scots Hist.Soc., 27[1898]",Murray Memorials,Murray Memorials,,,
"letters from Robert Mylne in Italy 1754-9; RIBA, MSS Add.Mylne 4/8/1-4 and 6 [for excerpts see C. Gotch, Architectural Review, Sep.1951,179-82]; and letters from William Mylne 1754-8; MSS Add.Mylne 4/17/2-15 and 4/18/1",Mylne letters MSS,Mylne letters MSS,,,
"letters from Devereux Mytton in Italy 1778-9 to his father, Devereux Mytton; NLW, Harrison MSS, nos.64-8",Mytton letters MSS,Mytton letters MSS,,,
"Berks RO, Reading, D/EN/F.55/ ",Neville and Aldworth MSS,Neville and Aldworth MSS,,,
"correspondence and accounts of Sir Roger Newdigate; Warwick RO, CR 136/",Newdigate MSS,Newdigate MSS,,,
"J. Nichols, Literary Anecdotes the Eighteenth century ..., 9 vols. [1812-15]","Nichols, Lit. Anecdotes","Nichols, Lit. Anecdotes",,,
"J.T. Smith, Nollekens and His Times, 2 vols. [1829] ",Nollekens 1829,Nollekens 1829,,,
"S. Gwynn, Memorials of an eighteenth-century painter: James Northcote [1898] ",Northcote Memorials,Northcote Memorials,,,
"J. Northcote, The Life of Sir Joshua Reynolds, 2 vols. [1818 ed.]","Northcote, Reynolds","Northcote, Reynolds",,,
"C. Nylander, 'The People at the Pyramid' in Doctor Peregrino, Roman Studies in honour of Torgil Magnuson, Istituto Svedese di studi classici a Roma, [1992], 221-49",Nylander,Nylander,,,
"C. O'Connor, 'The Parody of The School of Athens', Bull. of the Irish Georgian Soc., 26[1983]:4-22",O'Connor 1983,O'Connor 1983,,,
"letters from James Irvine in Italy 1799-1800 to George Ogilvie; Aberdeen U. Lib., King's College, special colls., MS 2740/1/1",Ogilvie-Forbes MSS,Ogilvie-Forbes MSS,,,
"extract from Thomas Orde's Italian Journal, November 1772 only; photostat copy in WSL [copy in RBF; original now unlocated] ",Orde jnl. MSS,Orde jnl.MSS,,,
"Giornale di Vincenzo Pacetti dall'anno 1773 fino all'anno 1803; Biblioteca Alessandrina, U. of Rome, MS 321",Pacetti giornale,Pacetti giornale,,,
"Carteggio Paciaudi; correspondence of Abate Paolo Maria Paciaudi; BPP [index by L. Farinelli, Paolo Maria Paciaudi e i suoi corrispondenti (1985)]",Paciaudi cart.,Paciaudi cart.,,,
"G. Pagano de Divitiis, Il commercio inglese nel Mediterraneo dal '500 al '700; corrispondenza consolare e documentazione britannica tra Napoli e Londra [1984]",Pagano de Divitiis,Pagano de Divitiis,,,
"Herts RO, Hertford ",Panshanger MSS,Panshanger MSS,,,
"Robert Parker, Journal of a Tour into Italy [1792-3]; Hants RO, Winchester, 18 M51/555",Parker jnl. MSS,Parker jnl.MSS,,,
"letters from Charles Parker in Italy 1782-4 to Sir Roger Newdigate; Warwick RO, Warwick, Newdigate MSS, CR 136/ ",Parker letters MSS,Parker letters MSS,,,
"Robert Parker, list of people met in Italy in his Journal of a Tour into Italy [1792-3]; Hants RO, Winhester, 18 M51/555.",Parker list MSS,Parker list MSS,,,
journal of Dr John Parkinson in Italy 1783-4; priv. coll.,Parkinson jnl.MSS,Parkinson jnl.MSS,,,
"F.J.B. Watson, 'Thomas Patch: Notes on His Life, Together with a Catalogue of his Known Works', Wal.Soc., 28[1940]:15-50 ",Patch 1940,Patch 1940,,,
"F.J.B. Watson, 'Thomas Patch, Some new light on his work', Apollo, 85[1967]:348-53",Patch 1967,Patch 1967,,,
letters from Gen.James Pattison in Italy 1768-72 to his brother Nathaniel; priv.coll. [notes from F. Russell in RBF],Pattison letters MSS,Pattison letters MSS,,,
"letters from Thomas Pelham [later 2nd Earl of Chichester] in Italy 1777-8 to his father; BL, Add.33127, ff.171-352 ",Pelham letters MSS,Pelham letters MSS,,,
"The Pembroke Papers 1734-1780, ed. Lord Herbert [1942] [1st pub. 1939 as Henry, Elizabeth and George]",Pembroke Papers 1,"Pembroke Papers, 1",,,
"Pembroke Papers 1780-1794, ed. Lord Herbert [1950]",Pembroke Papers 2,"Pembroke Papers, 2",,,
"A Later Pepys: the correspondence of Sir William Weller Pepys. Bart., ..., ed. A.C.C. Gaussen, 2 vols. [1904]",Pepys 1904,Pepys 1904,,,
"letters from Joshua Pickersgill in Turin 1761-8 to his sister; Bucks CRO, Aylesbury, D152/B1.",Pickersgill letters MSS,Pickersgill letters MSS,,,
"The Piozzi Letters, the correspondence of Hester Lynch Piozzi, E.A. and L.D. Bloom ed., vol.1, 1784-1821 [1989]",Piozzi Letters,Piozzi Letters,,,
diary of Ann Pitt (1772-1864) in Italy 1792-3; priv. coll.,Pitt (Ann) jnl. MSS,Pitt (Ann) jnl.MSS,,,
"letters from Richard Pococke in Italy 1733-4 and 1737 to his mother; BL, Add.19939 ",Pococke letters MSS,Pococke letters MSS,,,
"Correspondence between Frances Seymour, Countess of Hertford and Henrietta Louisa, Countess of Pomfret 1738-41, 3 vols. [1805]",Pomfret Corr.,Pomfret Corr.,,,
"Henrietta, Countess of Pomfret, journal of travels in France an Italy 1738-9 and in Italy 1739-40 Leics RO, Leicester, Finch MSS",Pomfret jnl. MSS,Pomfret jnl.MSS,,,
"narrative account and travel notebooks of Thomas Chinnal Porter in Italy 1788-9; Worcester RO, 705/262/65 and /66 ",Porter MSS,Porter MSS,,,
"[Samuel Powel], 'Short Notes on a Course of Antiquities at Rome In Company with Messrs Apthorp, Morgan & Palmer begun May 21 1764 under Mr Byre[s] Antiquarian'; MSS, American Phil.Soc., Philadelphia",Powel 1764 MSS,Powel 1764 MSS,,,
"P.B. Prato, Giornale della citta' e Porto di Livorno, 1 Jan.1764-20 Sep.1813, 63 MSS vols.; BLL, MS.091.Q.1 ",Prato MSS,Prato MSS,,,
"journal of 4th Earl of Lichfield in Italy 1738-40; Oxfordshire Archives, Oxford, Dillon MSS",Quarendon jnl. MSS,Quarendon jnl.MSS,,,
"Devon CRO, Exeter, 64/12/21/1/135",Quick MSS,Quick MSS,,,
"journal of Henry George Quin in Italy 1785-6; Trin. Coll., Dublin, MS 2226/1 and MIC.32 ",Quin jnl. MSS,Quin jnl.MSS,,,
Warwick RO,Ragley MSS,Ragley MSS,,,
"A. Smart, Allan Ramsay [1992]",Ramsay 1992,Ramsay 1992,,,
"journal of John Ramsay in Italy 1782-4; NLS, MSS.1833/4",Ramsay jnl. MSS,Ramsay jnl.MSS,,,
"letters from Sir John Rawdon in Italy 1739 to Thomas Prior, and from his son Francis Rawdon in Italy 1774 to his father; PRO NI, Rawdon MSS, D2924/1, ff.47-50 and 168-85 ",Rawdon letters MSS,Rawdon letters MSS,,,
"Dr Richard Rawlinson, diaries 1720-26; Bodl., MSS. Rawl.1180-7",Rawlinson jnl. MSS,Rawlinson jnl.MSS,,,
"S. Redgrave, Dictionary of Artists of the English School [1878]",Redgrave 1878,Redgrave 1878,,,
"J. Richardson sen. and jun., Account of some of the Statues, Bas-reliefs, Drawings and Pictures in Italy with Remarks [1722]","Richardson, Account","Richardson, Account",,,
"journals of Capt.Thomas Riddell [?] in Italy 1770-71; Northumb. CRO, Newcastle, ZWR 62",Riddell jnl. MSS,Riddell jnl.MSS,,,
"Stephen Riou, Part of a Tour in Greece 1750-3 and letters to his mother; YCBA",Riou MSS,Riou MSS,,,
"M. Riviere, 'The Rev. William Gunn, B.D., A Norfolk Parson on the Grand Tour', Norfolk Archaeology, 33.3[1964]:351-78",Riviere 1964,Riviere 1964,,,
"M. Riviere, 'The Rev. William Gunn, B.D., A Norfolk Parson on the Grand Tour', Norfolk Archaeology, 33.4[1965]:379-406",Riviere 1965,Riviere 1965,,,
"letters from Thomas Robinson, later 2nd Baron Grantham, in Italy 1759-60; West Yorkshire Archive Service, Leeds, VR 12300-61",Robinson letters MSS,Robinson letters MSS,,,
journal of James Robson in Italy 1787; BL Add.38837,Robson jnl.MSS,Robson jnl.MSS,,,
"List of English Artists residing at Rome in the year 1790'; printed sheet (photograph in RBF). A similar list printed in Farington Diary 1793-1821, ed. Greig [7 vols., 1922-8], 3:53-4n; annotated MS copy in Parker jnl.Mss",Rome List 1790,Rome List 1790,,,
Celebrated Artists in Rome in our time 1792 & 93'; an annotated version of the Rome List 1790 with some Italian artists added; Parker jnl.Mss,Rome List 1792,Rome List 1792,,,
List of English Artists residing at Rome in the Year 1793'; printed sheet (copy in RBF from Parker jnl.Mss),Rome List 1793,Rome List 1793,,,
"letter addressed to Prince Augustus [Duke of Sussex] dated Rome, 20 April 1794, signed by 23 English artists in Rome, thanking him for obtaining free admission of their works into England; Whitley MSS, and Annals of the Fine Arts for 1816,1:406 [1817]",Rome List 1794,Rome List 1794,,,
"Rev J. Romney, Memoirs of the Life and Works of George Romney [1830]",Romney 1830,Romney 1830,,,
"SRO, GD 125",Rose of Kilravock MSS,Rose of Kilravock MSS,,,
Voyage de Catalogue' [1793-1800] by John Rushout [later 1st Baron Northwick]; priv. coll.,Rushout Voyage MSS,Rushout Voyage MSS,,,
"[James Russel], Letters from a Young Painter abroad to his Friends in England, 2 vols, 2nd ed. 1750]","Russel, Letters","Russel, Letters",,,
"Marquis of Ruvigny and Raineval, The Jacobite Peerage [1904]",Ruvigny,Ruvigny,,,
"journal of Lord St Asaph in Italy 1782-3; East Sussex RO, Lewes, Ashburnham MSS, ref.3995-4002",St Asaph jnl. MSS,St Asaph jnl.MSS,,,
"F. Salmon, ‘British Architects and the Florentine Academy, 1753-1794’, Mitteilungen des Kunst.lnst.in Florenz, 34[1990]:199-214",Salmon 1990,Salmon 1990,,,
"B. Sani, Rosalba Carriera lettere, diari, frammenti [1985]",Sani 1985,Sani 1985,,,
"B. Sani, Rosalba Carriera [catalogo] [1988]",Sani 1988,Sani 1988,,,
"P.A. Scholes, The Great Doctor Burney, 2 vols. [1948]",Scholes 1948,Scholes 1948,,,
"Curiosities of a Scots Charta Chest 1600-1800, with the Travels and Memoranda of Sir Alexander Dick, Baronet of Prestonfield, Midlothian, Written by Himself, ed. Hon.Mrs Atholl Forbes [1897] (original MSS in the Pierpont Morgan Lib., New York)",Scots Charta Chest,Scots Charta Chest,,,
"papers from the Scots College, Rome; Scottish Catholic Archives, Colomba House, Edinburgh",Scots Coll.MSS,Scots Coll.MSS,,,
"journal of Capt. Robert Scott of Rosebank in Italy 1786-7; NLS, MS 2893-5",Scott jnl MSS,Scott jnl MSS,,,
"SRO, GD 248 (some letters from the Abbé Grant pub. in W. Fraser, Chiefs of Grant [1882], 2:533-58)",Seafield MSS,Seafield MSS,,,
"S. O’Connell, ‘Lord Shaftesbury in Naples 1711-13’, Wal.Soc., 53[1988]:149-219",Shaftesbury 1988,Shaftesbury 1988,,,
"travel journal of Robert Sharpe 1700-02; BL, Sloane MS 1522",Sharpe jnl.MSS,Sharpe jnl.MSS,,,
"‘A Journal by his Grace Charles, Duke of Shrewsbury, from November the 1st, 1700, when his Grace left England, to January the 7th, 1706 [n.s.], when he landed at Deptford’, HMC Buccleuch (Montagu Ho.), 2ii[1903]:746-99",Shrewsbury Jnl.,Shrewsbury Jnl.,,,
"travel journals of George Sinclair of Ulbster 1737-8; NLS, Sinclair of Ulbster MSS 2143-5",Sinclair jnl.MSS,Sinclair jnl.MSS,,,
"R.B. Ford, ‘The Letters of Jonathan Skelton from Rome and Tivoli in 1758’, Wal.Soc., 36[1960]:23-84",Skelton 1960,Skelton 1960,,,
"S. Rowland Pierce, ‘Jonathan Skelton and his Water Colours’, Wal.Soc., 36[1960]:10-22",Skelton List,Skelton List,,,
"B. Skinner, Scots in Italy in the 18th century [1966]","Skinner, Scots in Italy","Skinner, Scots in Italy",,,
"notebooks, accounts and letters of John Skippe; priv.coll. [1961]",Skippe MSS,Skippe MSS,,,
"K. Sloan, Alexander and John Robert Cozens [1986]","Sloan, Cozens","Sloan, Cozens",,,
"J. Soane, Memoirs of the professional life of an Architect between the Years 1768 and 1835 [1835]","Soane, Memoirs","Soane, Memoirs",,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Genoa 1710-18",SP 79/6-8,SP 79/6,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Genoa 1710-18",SP 79/6-8,SP 79/7,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Genoa 1710-18",SP 79/6-8,SP 79/8,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Rome 1690-1773 (misc.)",SP 85/13,SP 85/13,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Rome 1722-9",SP 85/14-16,SP 85/14,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Rome 1722-9",SP 85/14-16,SP 85/15,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Rome 1722-9",SP 85/14-16,SP 85/16,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/27,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/28,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/29,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/30,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/31,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1706-27",SP 92/27-32,SP 92/32,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1734",SP 92/37,SP 92/37,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Turin 1735",SP 92/39,SP 92/39,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1684-1733",SP 93/3-6,SP 93/3,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1684-1733",SP 93/3-6,SP 93/4,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1684-1733",SP 93/3-6,SP 93/5,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1684-1733",SP 93/3-6,SP 93/6,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/9,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/10,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/11,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/12,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/13,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/14,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1734-57",SP 93/9-15,SP 93/15,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/19,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/20,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/21,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/22,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/23,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/24,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/25,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/26,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/27,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/28,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/29,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/30,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1761-79",SP 93/19-31,SP 93/31,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Naples 1621-1777 (misc.)",SP 93/32,SP 93/32,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/19,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/19,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/20,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/21,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/22,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/23,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/24,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/25,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/26,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/27,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/28,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/29,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/30,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/31,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/32,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/33,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/34,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/35,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/36,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1700-36",SP 98/19-37,SP 98/37,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/39,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/40,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/41,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/42,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/43,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/44,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/45,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Florence 1736-46",SP 98/39-46,SP 98/46,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/57,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/58,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/59,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/60,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/61,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/62,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, Venice 1701-40",SP 99/57-63,SP 99/63,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1737-45",SP 105/281-283,SP 105/281,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1737-45",SP 105/281-283,SP 105/282,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1737-45",SP 105/281-283,SP 105/283,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/309,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/310,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/311,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/312,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/313,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/314,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/315,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/316,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/317,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/318,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/319,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/320,,,
"State Papers Foreign, PRO correspondence of British representatives in Italy, letters to Horace Mann in Florence 1748-72",SP 105/309-321,SP 105/321,,,
"Joseph Spence: Letters from the Grand Tour, ed. S. Klima [1975]",Spence Letters,Spence Letters,,,
"Joseph Spence, Observations, Anecdotes and Characters of Books and Men, Collected from Conversation, ed. J.M. Osborn [1966]",Spence Anecdotes,Spence Anecdotes,,,
"extracts from journals and recollections of John Thomas Stanley, from 1781; John Rylands Lib., Manchester, Eng.MS 722",Stanley jnls. MSS,Stanley jnls.MSS,,,
"Mariana Starke, Travels in Italy between the years 1792 and 1798 containing a view of the late Revolution in that country ..., 2 vols. [1802]","Starke, Travels","Starke, Travels",,,
"Letters of Laurence Sterne, ed. L.P. Curtis [1935]",Sterne Letters,Sterne Letters,,,
"A.M.W. Stirling, Coke of Norfolk and his Friends, 2 vols. [1908]","Stirling, Coke of Norfolk","Stirling, Coke of Norfolk",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Robbio 1699-1709,"Storia Patria, 4-2","Storia Patria, 4-2",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Torino 1702-13,"Storia Patria, 5","Storia Patria, 5",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Salmatoris 1738-43,"Storia Patria, 7-1","Storia Patria, 7-1",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Salmatoris 1753-9,"Storia Patria, 7-4","Storia Patria, 7-4",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Piozzo 1759-62,"Storia Patria, 8-1","Storia Patria, 8-1",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Piozzo 1763-6,"Storia Patria, 8-2","Storia Patria, 8-2",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Cravetta di Villanovetta 1784-90,"Storia Patria, 9-4","Storia Patria, 9-4",,,
MSS. Storia Patria 726: Cerimoniali della Real Corte di Savoia; BRT; del Bernezzo 1784-6,"Storia Patria, 10-1","Storia Patria, 10-1",,,
"W. Strickland, A Dictionary of Irish Artists, 2 vols. [1913]",Strickland 1913,Strickland 1913,,,
"Clare Stuart-Wortley, ‘Data from the Stuart Papers at Windsor dealing with the portraits of the Royal Stuarts, 1717-34’, typescript in RBF",Stuart-Wortley MSS,Stuart-Wortley MSS,,,
"D. Sutton, ‘The Roman Caricatures of Reynolds’, Country Life Annual 1956, 113-16",Sutton 1956,Sutton 1956,,,
"Northumb.RO, Newcastle",Swinburne MSS,Swinburne MSS,,,
"H. Swinburne, The Courts of Europe at the close of the last century, ed. C. White, 2 vols. [1841]","Swinburne, Courts","Swinburne, Courts",,,
"letters from John Talman in Italy, March 1708-April 1712; Bodl., MS Eng.lett.e.34 [to be pub. by the Wal.Soc.]",Talman letters MSS,Talman letters MSS,,,
"letters from C.H. Tatham and Richard Westmacott in Italy 1794-6 to Henry Holland; VAM, Department of Prints and Drawings, D.1479.3/4/8/13/14/18/20/21/ and 23-29 (copies in the Soane Museum; extracts published in Jenkins 1913, 503-10)",Tatham letters MSS,Tatham letters MSS,,,
"H. Tayler ed., ‘The Jacobite Court at Rome in 1719 from original documents at Fettercairn House and at Windsor Castle’, Scots.Hist.Soc., 3 ser., 31[1938]",Tayler 1938,Tayler 1938,,,
