Full title,Abbreviation in sources,Abbreviation in dictionary,,Number of entries with the source as January 2023,
Archivio di Stato di Torino (sez.1); Carteggio Diplomatico,AST CD,AST CD,,5,
"Archivio di Stato di Torino (sez.1); Corti estere, Toscana 
(mazz.4 di 2a add.)",AST CE,AST CE,,8,
"Archivio di Stato di Torino (sez.1); Cerimoniale, Funzioni diverse, mazz.1 d'add. (nota dei forestieri presentati a corte 1779-86)",AST CF,AST CF,,31,
"Archivio di Stato di Torino (sez.1); Cerimoniale, Inghilterra 
(mazz.1 d'add.)",AST CI,AST CI,,2,
Archivio di Stato di Torino (sez.1); Lettere particolari,AST LP,AST LP,,1,
"Archivio di Stato di Venezia; Inquisitori di Stato, Lettere ai Rettori di Padova",ASV IS 72,ASV IS 72,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Minuti e memorie del Segretario 1778-9",ASV IS 203,ASV IS 203,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Dispacci dai Rettori di Bergamo 1791-3 ",ASV IS 224,ASV IS 224,,2,
"Archivio di Stato di Venezia; Inquisitori di Stato, Dispacci dai Rettori di Bergamo 1794-95",ASV IS 225-6,ASV IS 225,,4,
"Archivio di Stato di Venezia; Inquisitori di Stato, Dispacci dai Rettori di Bergamo 1794-95",ASV IS 225-6,ASV IS 225-6,,,
"Archivio di Stato di Venezia; Inquisitori di Stato, Dispacci dai Rettori di Bergamo 1795",ASV IS 227,ASV IS 227,,2,
"Archivio di Stato di Venezia; Inquisitori di Stato, Dispacci dai Rettori di Bergamo 1796-7",ASV IS 228,ASV IS 228,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Senato, Dispacci: Roma",ASV IS 284,ASV IS 284,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Senato, Dispacci, Corti",ASV IS 319,ASV IS 319,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797 ",ASV IS 759-781,ASV IS 759,,N.A.,as 759-781 there are 26 matches 
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797 ",ASV IS 759-781,ASV IS 760,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 761,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 762,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 763,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 764,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 765,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 766,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 767,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 768,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 769,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 770,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 771,,N.A.,
"Archivio di Stato di Venezia; Inquisitori di Stato, Note dei forestieri: Venezia 1766-Feb.1797",ASV IS 759-781,ASV IS 772,,N.A.,
