index	education	from	to	degree	degreeDate	teacher	institution	place
506	St John's Camb.	1735					St John's College, Cambridge	Cambridge
506	I.Temple	1737					Inner Temple	London
509	Edinburgh U.	1754					Edinburgh University	Edinburgh
509	Glasgow U.	1759					Glasgow University	Glasgow
512	Balliol Oxf.	1725					Balliol College, Oxford	Oxford
512	All Souls Oxf.			BA	1732		All Souls College, Oxford	Oxford
520	Eton						Eton College School	Eton
520	Ch.Ch. Oxf.	1757					Church Christ College, Oxford	Oxford
521	New Coll. Oxf.	1737					New College, Oxford	Oxford
524	St Andrews U.						St Andrews University	St Andrews
524	Edinburgh			MD	1776			Edinburgh
526	Ch.Ch. Oxf.	1771					Church Christ College, Oxford	Oxford
526	Harvard			MA	1771		Harvard University	Harvard
529	St John's Camb.	1686					St John's College, Cambridge	Cambridge
529	M.Temple	1686					Middle Temple	London
531	Trin. Camb.	1707					Trinity College, Cambridge	Cambridge
536	Ch.Ch. Oxf.	1736	1737				Church Christ College, Oxford	Oxford
541	Westminster						Westminster School	Westminster, London
543	Westminster						Westminster School	Westminster, London
547	St John's Camb.	1782					St John's College, Cambridge	Cambridge
547	L.Inn	1782					Lincoln's Inn	London
547	G.Inn	1790					Gray's Inn	London
553	Eton						Eton College School	Eton
553	Queens' Camb.	1735					Queen's College, Cambridge	Cambridge
554	Glasgow U.	1738					Glasgow University	Glasgow
554	I.Temple	1735					Inner Temple	London
554	Harvard			LLD	1787		Harvard University	Harvard
555	Westminster						Westminster School	Westminster, London
555	Trin. Camb.	1765					Trinity College, Cambridge	Cambridge
556	Christ's Camb.	1767					Christ's College, Cambridge	Cambridge
557	L.Inn	1795					Lincoln's Inn	London
559	St John's Camb.	1786					St John's College, Cambridge	Cambridge
562	Winchester						Winchester College School	Winchester
568	Westminster						Westminster School	Westminster, London
568	Trin. Camb.	1697					Trinity College, Cambridge	Cambridge
570	Corpus Oxf.			DD	1735		Corpus Christi College, Oxford	Oxford
573	Eton						Eton College School	Eton
573	Trin. Camb.	1752					Trinity College, Cambridge	Cambridge
574	Ch.Ch. Oxf.	1725					Church Christ College, Oxford	Oxford
587	Corpus Camb.	1747					Corpus Christi College, Cambridge	Cambridge
587	L.Inn	1747					Lincoln's Inn	London
598	Clare Camb.	1718					Clare College, Cambridge	Cambridge
598	I.Temple	1721					Inner Temple	London
600	St John's Camb.	1773					St John's College, Cambridge	Cambridge
600	M.Temple	1773					Middle Temple	London
601	Eton						Eton College School	Eton
601	Clare Camb.	1755					Clare College, Cambridge	Cambridge
604	Westminster						Westminster School	Westminster, London
604	Ch.Ch. Oxf.	1717					Church Christ College, Oxford	Oxford
605	Ch.Ch. Oxf.	1780					Church Christ College, Oxford	Oxford
607						Benjamin Wilson		
607						Mengs		
610	Winchester						Winchester College School	Winchester
611	Magd. Oxf.	1777					Magdalene College, Oxford	Oxford
613	Magd. Oxf.	1788					Magdalene College, Oxford	Oxford
626	Trin. Camb.	1708					Trinity College, Cambridge	Cambridge
630	Trustees' Academy					William Delacour	Trustees Drawing Academy	Edinburgh
630	Trustees' Academy					Charles Pavillon	Trustees Drawing Academy	Edinburgh
632	Eton						Eton College School	Eton
632	Trin. Oxf.	1766					Trinity College, Oxford	Oxford
632	L.Inn	1766					Lincoln's Inn	London
643	Westminster						Westminster School	Westminster, London
643	Hertford Oxf.	1763					Hertford College, Oxford	Oxford
652	St Thomas's	1709					St Thomas's Hospital Medical School	London
652	Trin. Camb.	1704					Trinity College, Cambridge	Cambridge
652	Ch.Ch. Oxf.	1705					Church Christ College, Oxford	Oxford
652	Univ. Coll. Oxf						University College, Oxford	Oxford
652	Univ. Coll. Oxf			MD	1723		University College, Oxford	Oxford
654	Leiden U.						Leiden University	Leiden
656	Harrow						Harrow School	London
659	Winchester						Winchester College School	Winchester
664	Eton						Eton College School	Eton
666	Oriel Oxf.	1794					Oriel College, Oxford	Oxford
673	Eton						Eton College School	Eton
679	Queen's Oxf.	1732					Queen's College, Oxford	Oxford
685	Eton						Eton College School	Eton
687	Westminster						Westminster School	Westminster, London
688	Westminster						Westminster School	Westminster, London
688	Jesus Oxf.	1769					Jesus College, Oxford	Oxford
689	Magd. Oxf.	1783					Magdalene College, Oxford	Oxford
693	St Catharine's Hall Camb.	1768					St Catharine's College, Cambridge	Cambridge
694	Westminster						Westminster School	Westminster, London
694	St Catharine's Hall Camb.	1757					St Catharine's College, Cambridge	Cambridge
695			1788			James Wyatt		
698	Westminster						Westminster School	Westminster, London
698	Ch.Ch. Oxf.	1785					Church Christ College, Oxford	Oxford
699	Univ. Coll. Oxf.	1773					University College, Oxford	Oxford
700	Eton						Eton College School	Eton
700	New Coll. Oxf.	1714					New College, Oxford	Oxford
703	Westminster						Westminster School	Westminster, London
703	Edinburgh U.	1765					Edinburgh University	Edinburgh
703	Univ. Coll. Oxf.	1770					University College, Oxford	Oxford
703	L.Inn	1769					Lincoln's Inn	London
705	Westminster						Westminster School	Westminster, London
710	Queens' Camb.						Queen's College, Cambridge	Cambridge
710	Queens' Camb.			BA	1754		Queen's College, Cambridge	Cambridge
710	Queens' Camb.			MA	1757		Queen's College, Cambridge	Cambridge
712	Merton Oxf.						Merton College, Oxford	Oxford
712	Leiden U.	1706					Leiden University	Leiden
712	M.Temple	1709					Middle Temple	London
713	Oxf.			Mus.D.	1769			Oxford
725	Eton						Eton College School	Eton
727	Douai	1719					Douai College	Douai
728	Trin. Dublin			LLD	1754		Trinity College Dublin	Dublin
740	Westminster						Westminster School	Westminster, London
740	Pembroke Camb.	1738					Pembroke College, Cambridge	Cambridge
740	L.Inn	1740					Lincoln's Inn	London
740	G.Inn	1747					Gray's Inn	London
743	Westminster						Westminster School	Westminster, London
743	Trin. Camb.	1757					Trinity College, Cambridge	Cambridge
747	France							France
750	St John's Camb.						St John's College, Cambridge	Cambridge
750	St John's Camb.			BA	1763		St John's College, Cambridge	Cambridge
761	Dundalk							Dundalk
761	Trin. Dublin	1737					Trinity College Dublin	Dublin
765	Christ's Camb.	1717					Christ's College, Cambridge	Cambridge
766	Ch.Ch. Oxf.	1716					Church Christ College, Oxford	Oxford
767	Emmanuel Camb.	1722					Emmanuel College, Cambridge	Cambridge
770		1763	1766			Isaac Ware		
782	Eton						Eton College School	Eton
782	Clare Camb.	1772					Clare College, Cambridge	Cambridge
801	Eton						Eton College School	Eton
801	King's Camb.	1764					King's College, Cambridge	Cambridge
803	Eton						Eton College School	Eton
803	Trin. Camb.	1711					Trinity College, Cambridge	Cambridge
805	Christ's Camb.						Christ's College, Cambridge	Cambridge
805	Queens' Camb.						Queen's College, Cambridge	Cambridge
805	Queens' Camb.			BA	1779		Queen's College, Cambridge	Cambridge
805				BD	1793			
806	Westminster						Westminster School	Westminster, London
806	Ch.Ch. Oxf.	1767					Church Christ College, Oxford	Oxford
811	Eton						Eton College School	Eton
811	St Andrews U.						St Andrews University	St Andrews
811	Ch.Ch. Oxf.	1771					Church Christ College, Oxford	Oxford
819	Ch.Ch. Oxf.	1781					Church Christ College, Oxford	Oxford
825	St Omer College	1755					St Omer College School	St Omer
848	Trin. Oxf.	1734					Trinity College, Oxford	Oxford
848				DCL	1754			
857	Eton						Eton College School	Eton
859	St John's Camb.	1746					St John's College, Cambridge	Cambridge
860	Trin. Camb.	1770					Trinity College, Cambridge	Cambridge
863	Trin. Camb.	1768					Trinity College, Cambridge	Cambridge
865	Trin. Camb.	1751					Trinity College, Cambridge	Cambridge
867	Ch.Ch. Oxf.	1712					Church Christ College, Oxford	Oxford
867	Camb.			DD	1728			Cambridge
875	Trin. Oxf.	1717					Trinity College, Oxford	Oxford
880	King's Camb.						King's College, Cambridge	Cambridge
880	King's Camb.			MA	1764		King's College, Cambridge	Cambridge
881		1749				J.F. Blondel		
889	Magd. Oxf.	1757					Magdalene College, Oxford	Oxford
895	Trin. Camb.						Trinity College, Cambridge	Cambridge
895	Trin. Camb.			BA	1766		Trinity College, Cambridge	Cambridge
920	Westminster						Westminster School	Westminster, London
920	Ch.Ch. Oxf.	1703					Church Christ College, Oxford	Oxford
922	Eton						Eton College School	Eton
934	Westminster						Westminster School	Westminster, London
934	Geneva							Geneva
947	Eton						Eton College School	Eton
947	Ch.Ch. Oxf.	1770					Church Christ College, Oxford	Oxford
960	Jesus Camb.	1786					Jesus College, Cambridge	Cambridge
960				LLD	1803			
963	Trin. Hall Camb.	1758					Trinity Hall College, Cambridge	Cambridge
969	Univ. Coll. Oxf.						University College, Oxford	Oxford
972	Pembroke Oxf.	1721					Pembroke College, Oxford	Oxford
976	Magd. Oxf.						Magdalene College, Oxford	Oxford
976	Magd. Oxf.			BA	1761		Magdalene College, Oxford	Oxford
982	Antwerp	1725	1727					Antwerp
982	St Andrews			MD	1729		St Andrews University	St Andrews
1004	Ch.Ch. Oxf.	1783					Church Christ College, Oxford	Oxford
1004	All Souls Oxf.			BCL	1791		All Souls College, Oxford	Oxford
1005	Eton						Eton College School	Eton
1005	Ch.Ch. Oxf.	1771					Church Christ College, Oxford	Oxford
1006	Merchant Taylors'						Merchant Taylors' School	London
1012	Foulis Academy	1754					Foulis Academy of Fine Arts	Glasgow
1022	Westminster						Westminster School	Westminster, London
1022	Univ. Coll. Oxf.	1736					University College, Oxford	Oxford
1026	France	1718						France
1027	Westminster						Westminster School	Westminster, London
1027	Ch.Ch. Oxf.	1735					Church Christ College, Oxford	Oxford
1029	Ch.Ch. Oxf.	1732					Church Christ College, Oxford	Oxford
1032	Turin Acad.						Turin Military Academy	Turin
1033	Eton						Eton College School	Eton
1034	Trin. Camb.	1683					Trinity College, Cambridge	Cambridge
1034				DD	1706			
1044	Corpus Oxf.	1712					Corpus Christi College, Oxford	Oxford
1045	Queen's Oxf.	1761					Queen's College, Oxford	Oxford
1057	RA Schools	1776					Royal Academy Schools	London
1063	Trin. Hall Camb.	1773					Trinity Hall College, Cambridge	Cambridge
1063	M.Temple	1776					Middle Temple	London
1064	Corpus Camb.	1706					Corpus Christi College, Cambridge	Cambridge
1070	Eton						Eton College School	Eton
1070	Ch.Ch. Oxf.	1714					Church Christ College, Oxford	Oxford
1073	Eton						Eton College School	Eton
1074	Eton						Eton College School	Eton
1080	Westminster						Westminster School	Westminster, London
1090	Trin. Oxf.	1775					Trinity College, Oxford	Oxford
1090	All Souls			MA	1782		All Souls College, Oxford	Oxford
1091	Eton						Eton College School	Eton
1093	Harrow						Harrow School	London
1093	Eton						Eton College School	Eton
1094	Eton						Eton College School	Eton
1095	Univ. Coll. Oxf.	1735					University College, Oxford	Oxford
1102	Clare Camb.	1714					Clare College, Cambridge	Cambridge
1102	Leiden U.	1720					Leiden University	Leiden
1102				MB	1720			
1103	Clare Camb.	1703					Clare College, Cambridge	Cambridge
1113	Paris							Paris
1124	Harrow						Harrow School	London
1130	Pembroke Oxf.	1770					Pembroke College, Oxford	Oxford
1131	New Coll. Oxf.	1713					New College, Oxford	Oxford
1132	Westminster						Westminster School	Westminster, London
1134	Ch.Ch. Oxf.	1723					Church Christ College, Oxford	Oxford
1134	Univ. Coll. Oxf.						University College, Oxford	Oxford
1134	Univ. Coll. Oxf.			MA	1743		University College, Oxford	Oxford
1135	Ch.Ch. Oxf.	1707					Church Christ College, Oxford	Oxford
1136	Ch.Ch. Oxf.	1725					Church Christ College, Oxford	Oxford
1136	Ch.Ch. Oxf.			DCL	1728		Church Christ College, Oxford	Oxford
1144	Eton						Eton College School	Eton
1144	Magd. Oxf.	1767					Magdalene College, Oxford	Oxford
1144	M.Temple	1770					Middle Temple	London
1151	Westminster						Westminster School	Westminster, London
1151	Emmanuel Camb.	1736					Emmanuel College, Cambridge	Cambridge
1152	Shrewsbury						Shrewsbury School	Shrewsbury
1152	Westminster						Westminster School	Westminster, London
1152	Trin. Hall Camb.	1756					Trinity Hall College, Cambridge	Cambridge
1154	Eton	1725	1728				Eton College School	Eton
1167	Exeter Oxf.	1725					Exeter College, Oxford	Oxford
1170	King's Camb.	1764					King's College, Cambridge	Cambridge
1172	London							London
1174	Univ. Coll. Oxf.	1767					University College, Oxford	Oxford
1174	Oxf.			DCL	1814			Oxford
1179	G.Inn	1753					Gray's Inn	London
1181	Eton						Eton College School	Eton
1182	Eton						Eton College School	Eton
1182	Glasgow U.	1757					Glasgow University	Glasgow
1185	Rugby							Rugby
1185	St John's Camb.	1716					St John's College, Cambridge	Cambridge
1185	Oxf.			DCL	1722			Oxford
1186	Eton						Eton College School	Eton
1187	Glasgow U.						Glasgow University	Glasgow
1187	Vaudeuil, Paris	1721					Vaudeuil Military Academy	Paris
1191	Eton						Eton College School	Eton
1191	Univ. Coll. Oxf.	1720					University College, Oxford	Oxford
1192		1750				John van Nost		
1207	Westminster						Westminster School	Westminster, London
1207	Ch.Ch. Oxf.	1760					Church Christ College, Oxford	Oxford
1212						Robert West		
1212						Robert Hunter		
1212						Philip Hussey		
1212	Dublin Society Schools of Drawing						Dublin Society Schools of Drawing	Dublin
1215	Westminster Abbey choir						Westminster Abbey Choir School	Westminster, London
1217	Westminster						Westminster School	Westminster, London
1217	Ch.Ch. Oxf.	1717					Church Christ College, Oxford	Oxford
1219	Queen's Oxf.	1707					Queen's College, Oxford	Oxford
1223	Westminster						Westminster School	Westminster, London
1223	Trin. Camb.	1757					Trinity College, Cambridge	Cambridge
1223	I.Temple	1755					Inner Temple	London
1233	St Catharine's Camb.	1773					St Catharine's College, Cambridge	Cambridge
1233	Christ's Camb.	1773					Christ's College, Cambridge	Cambridge
1234	RA Schools	1772					Royal Academy Schools	London
1240	Leiden U.						Leiden University	Leiden
1245	Edinburgh U.						Edinburgh University	Edinburgh
1245	Leiden U.	1725					Leiden University	Leiden
1245	St Andrews U.	1727					St Andrews University	St Andrews
1245				MD	1725			
1248	Ch.Ch. Oxf.	1766					Church Christ College, Oxford	Oxford
1263	Eton						Eton College School	Eton
1266	Trin. Oxf.						Trinity College, Oxford	Oxford
