index	sequence	spouse	year	relative
2266	1	Esther		
2270	1	Ldy. Caroline Fitzroy	1746	
2280	1	Ldy. Mary Tufton	1718	
2289	1	Ldy. Charlotte Boyle	1748	
2294	1	Ann Ives		
2307	1	Henry Hatton	1783	
2307	2	1st M. of Abercorn [S]	1800	
2318	1	Margaret Nicholson	1720	
2322	1	Hon. Marjory Murray	1715	
2323	1	Anne Elphinstone		
2327	1	Henrietta Auriol	1748	
2341	1	Jane Lewthwaite	1783	
2344	1	Mary Quin	1778	
2353	1	Frances-Anne Ainslie	1798	
2357	1	Ldy. Catherine Rawdon	1764	
2363	1	Elizabeth Beauclerk	1787	
2363	2	Catherine Vorontsov	1808	
2365	1	Hon. Mary Fitzwilliam	1733	
2372	1	John Ross	1774	
2372	2	Sir Robert Herries	1777	
2373	1	Grace Henderson		
2373	2	Catherine Foote	1777	
2377	1	Frances Thynne	1715	
2379	1	Elizabeth Chudleigh	1744	
2383	1	Dorothy Ashley	1740	
2385	1	Hon. Elizabeth Upton	1798	
2387	1	Mary Lepell	1720	
2388	1	Elizabeth Drummond	1779	
2392	1	Hannah Sturges	1725	
2393	1	Mary Tyreil	1805	
2393	2	Hon. Letitia Wodehouse	1811	
2395	1	Harriet Cowper	1751	
2402	1	Frances Bettinson	1689	
2407	1	Anna Maria Bowles	before 1771	
2416	1	Maria Darcy	1738	
2417	1	Mary Dering	1769	
2418	1	Miss Morris	1710	
2426	1	Ldy. Elizabeth Stanhope	1722	
2431	1	Ldy. Margaretta Fitzgerald	1748	
2431	2	Mary suo jure Bs. Stawell	1768	
2432	1	Elizabeth Popham	1707	
2434	1	Elizabeth Crewe		
2437	1	Margaret Stewart	1780	
2437	2	Elizabeth Horner	1801	
2439	1	Hon. Anne Masham	1726	
2439	2	Susan Colt	1728	
2442	1	Miss Coulthurst	1751	
2445	1	Hon. Hester Lyttelton	1783	
2446	1	Elizabeth Barker	1744	
2447	1	Hon. Albinia Bertie	1757	
2448	1	Mary Ann Drury	1761	
2448	2	Caroline Conolly	1770	
2452	1	Charlotte Cam	1785	
2452	2	Amelia Parry	1793	
2463	1		1786	
2466	1	Frederica Schomberg	1715	
2467	1	Mary Doublet	1743	
2471	1	Penelope Dyne	1733	
2471	2	Ldy. Georgiana Caroline Lennox	1744	
2473	1	Elizabeth Vassall	1797	
2474	1	Catherine Eden	1793	
2482	1	Abigail Way	1767	
2482	2	Hon. Lucy Pelham	1794	
2482	3	Ldy. Anne North	1798	
2487	1	Ldy. Elizabeth Scott	1798	
2488	1	Jane Graham	1771	
2489	1	Susanna Delane	1783	
2489	2	Anna Patterson	1796	
2491	1	Janet Jardine	1782	
2505	1	Ldy. Elizabeth Carnegie	1766	
2506	1	Philippina van der Heoven	1763	
2507	1	Ldy. Anne Ogilvy	1733	
2507	2	Jean Oliphant	1762	
2507	3	Ldy. Elizabeth Leslie	1767	
2509	1	Louisa Beresford	1806	
2513	1	Catherine Weir	1733	
2513	2	Ldy. Anne Vane	1746	
2513	3	Helen Dunbar	1766	
2514	1	Sophia Corrie	1775	
2524	1	Margaret Aylmer	1789	
2529	1	Ldy. Gertrude Stanhope	1724	
2530	1	Caroline Clutterbuck		
2533	1	Friedrich Ludwig	1789	
2536	1	Hon. Eleanora Cathcart	1744	
2541	1	Sarah Inwen	1735	
2542	1	Miss Reinagle	1801	
2543	1	Sarah Loidore	1752	
2543	2	Henrietta Leeds	1758	
2544	1	Alice Forward	1755	
2549	1	Mary Wentworth	1707	
2549	2	Elizabeth Rotherham	1722	
2552	1	Dorothy Thynne	1712	
2553	1	Martha Parker-a-Morley-Long	1751	
2557	1	Sarah Coghill	1730	
2562	1	Mary Richardson	1725	
2562	2	Mary Fynes	1770	
2565	1	Brigida Ractelif'		
2574	1	Amelia Egerton	1771	
2580	1	Elizabeth Weld	1707	
2590	1	Ldy. Selina Shirley	1728	
2591	1	Ldy. Grace Carteret	1729	
2592	1	Ldy. Henrietta Mordaunt	1707	
2613	1	Mary Reade	1768	
2623	1	Christiana Methuen	1775	
2631	1	Elizabeth Henry	1749	
2631	2	Anne Barry	1753	
2631	3	Caroline		
2632	1	Mary Hacket	1725	
2635	1	Alice de Lancey of New York	1767	
2636	1	Mary Joanna Riminaldi		
2644	1	Mary Bartlett	1753	
2647	1	Muriel Bland		
2648	1	Princess Clementina Sobieska	1719	
2657	1	Guyon		
2677	1	Giovanni Martinez	1794	
2681	1	Ldy. Theodosia Hervey	1795	
2681	2	Mary Chester	1822	
2683	1	Frances Lascelles	1801	
2684	1	Juliana Atkinson	1760	
2684	2	Miss Newell		
2688	1	Mary Plowden	1733	
2689	1	Ldy. Anne Egerton	1733	
2692	1	Martha Parker	1783	
2694	1	Frances Bligh	1788	
2694	2	Juliana Orde	1804	
2695	1	Vertue Hase	1772	
2697	1	Maria Burgh	1779	
2697	2	Jane Johnes	1783	
2703	1	Ldy. Henrietta Cecilia West	1762	
2714	1	Mary Forrest	1732	
2724	1	Jane Hudson	1769	
2732	1	Jane Mercer	1787	
2732	2	Hester Thrale	1808	
2759	1	Maddalena Guardi [Magdalen Gardi]		
2764	1	Sophia Hales		
2766	1	Hon. Emilia St George	1775	
2770	1	Ldy. Mary Shirley	1730	
2771	1	Hon. Jean Cochrane	1692	
2771	2	Barbara McDougall		
2773	1	Elizabeth Fry	1726	
2774	1	Deborah Lara		
2774	2	Ldy. Jane Rochfort	1785	
2775	1	Charlotte Tredcroft	1774	
2776	1	Ldy. Hester Fortescue	1804	
2781	1	Elizabeth Chudleigh	1769	
2782	1	Hon. Augustus Hervey	1744	
2782	2	2nd D. of Kingston	1769	
2783	1	Ldy. Anne Lindsay	1714	
2788	1	Ldy. Henrietta Maria Murray	1702	
2788	2	Ldy. Elizabeth Lyon		
2789	1	Ldy. Abigail Harley	1709	
2802	1	Frances Heath	1750	
2803	1	Adml. Sir Joseph Knight	1756	
2806	1	Hon. Henrietta St John	1727	
2806	2	Mary	1756	
2815	1	Mary Powell	1752	
2828	1	Ldy. Anne Barbara Villiers	1791	
2830	1	Ellis [Elisha] Smyth	1764	
2830	2	Ldy. Catherine Skeffington	1784	
2830	3	Miss Coghlan	1799	
2833	1	2nd E. of Lanesborough [I]	1754	
2842	1	Julie de Monceau de la Meloniere		
2848	1	Elizabeth Dawes	1747	
2848	2	Jane Coleman	1770	
2850	1	Elizabeth Morley		
2852	1	Ldy. Katherine Knollys	1700	
2862	1	Monica Stapleton	1773	
2862	2	Catherine Fermor	1801	
2865	1	Elizabeth Mordaunt	1724	
2871	1	Nicholas Lechmere	1719	
2871	2	Sir Thomas Robinson	1728	
2876	1	Elizabeth Leake		
2878	1	Philadelphia Dyke		
2881	1	Bridget Hyde	1682	
2882	1	Ldy. Mary Godolphin	1740	
2885	1	Cecilia Leigh	1729	
2885	2	Anne Preston	1739	
2885	3	Elizabeth French	1768	
2888	1	Elizabeth Langlois	1738	
2890	1	Jane Cartwright	1755	
2891	1	Jane Aston	1782	
2893	1	Elizabeth Musgrave	1786	
2894	1	Hon. Mary Stawell	1750	
2900	1	Frances Wilson	1701	
2901	1	Georgina Maria Cottin	1810	
2910	1	Ldy. Emilia Lennox	1747	
2918	1	Ldy. Louisa Kerr	1759	
2920	1	Anna Draycott [Delagard]	1764	
2931	1	Margaret Sloper		
2935	1	Ldy. Harriet Cavendish	1809	
2941	1	Hon. Charlotte Bridgeman		
2946	1	Ldy. Frances Finch	1782	
2951	1	Anne Delme	1735	
2956	1	Catherine Pelham	1744	
2957	1	Ldy. Frances Seymour-Conway	1775	
2960	1	Mary Milner		
2965	1	Ldy. Margaret Hay	1707	
2966	1	Theresa Conyers	1746	
2972	1	Margaret O'Brien	before 1736	
2977	1	Henrietta Marchant	1796	
2982	1	Cornelia Van Horn	1790	
2992	1	Mary Adam	1779	
2994	1	Cecilia Margaret Ogilvie	1795	
2998	1	Frederica Augusta Schaub	1767	
2999	1	Elizabeth Jennings	1800	
3004	1	Fergusia Wishart	1726	
3006	1	Mathilda		
3006	2	Annabella Crawford	1785	
3012	1	Hannah Phipps		
3013	1	Amelia Hume	1793	
3014	1	Hon. Sophia Pelham	1802	
3015	1	Hon. Harriet Bouverie	1775	
3015	2	Ldy. Catherine Windsor	1785	
3017	1	Ldy. Emma Child	1735	
3019	1	Ldy. Georgiana Lygon	1817	
3020	1	Lucy Pelham	before 1726	
3022	1	Elizabeth Skrine	1781	
3024	1	Ldy. Caroline Elizabeth Villiers	1810	
3036	1	Ldy. Elizabeth Fane	1790	
3041	1	Margaret Smith	1760	
3055	1	Judith Lawes	1737	
3057	1	Hon. Grace Norton	1799	
3057	2	Mary Anne Hanson	1814	
3059	1	Mary Coke		
3066	1	Lucy Fortescue	1742	
3066	2	Elizabeth Rich	1749	
3068	1	Ldy. Rachel Russell	1745	
3069	1	Apphia Witts	1772	
3076	1	Ldy. Jane Stuart	1768	
3096	1	Janet Oliphant	1757	
3100	1	Ldy. Elizabeth Campbell	1749	
3108	1	Sir Herbert Mackworth	1761	
3110	1	Hon. Jane Ross	1755	
3134	1	James Joseph Mahony	1739	
3134	2	Don Carlo Severino	1773	
3135	1	Principe Benedetto Giustiniani	1757	
3136	1	Ldy. Clifford	1739	
3148	1	Sarah Bazett	1786	
3148	2	Catherine Stephens	1838	
3149	1	Susanna	1734	
3149	2	Lucy Elstob		
3151	1	James Harris	1777	
3152	1	Harriet Maria Amyand	1777	
3155	1	Mary Bright	1752	
3158	1	Hon. Dodington Greville	1691	
3162	1	Ldy. Susan Maxwell Gordon	1793	
3163	1	Elizabeth Dashwood	1762	
3165	1	Ldy. Isabella Montagu	1723	
3170	1	Ldy. Lucy Noel	1765	
3171	1	Lucy Mann	1786	his cos.
3174	1	Mary Digges	1756	
3178	1	Anne Shovel	1718	
3183	1	Ldy. Margaret Hay	1703	
3183	2	Ldy. Frances Pierrepont	1714	
3185	1	Ldy. Sarah Cadogan	1719	
3194	1	Ldy. Caroline Russell	1762	
3208	1	Penelope Skipp	1774	
3215	1	Martha Elliston	1773	
3219	1	Marie Anne Barcier	1789	
3219	2	Elizabeth Lane		
3221	1	Philippa Mundy		
3233	1	Miss Clerke	1775	
3234	1	Laetitia Vernon	1756	
3234	2	Mary Allen	1766	
3234	3	Anne Monck	1777	
3239	1	4th B. Bellew	1731	
3244	1	Ldy. Catherine Stewart	1731	
3244	2	Anne Fox	1767	
3250	1	Anne Parsons (c.1735-c.1814)	1776	
3251	1	Catherine Gunter		
3253	1	Charlotte Bishopp	1751	
3258	1	Theodosia Hawkins-Magill	1765	
3263	1	Anne Mills	1774	
3265	1	Mary Kelly	1807	
3278	1	Frances Rutherford	1776	
3305	1	Hon. Grace Boyle	1744	
3309	1	Margaret Gambier	1761	
3310	1	Mrs Sarah Drake	1710	
3310	2	Mary Conyers	1734	
3310	3	Anne Powell	1747	
3313	1	Albinia Townshend	1752	
3316	1	Cornelia	1775	
3319	1	Anne Mildmay		
3324	1	John Miller	1765	
3328	1	Anne Riggs	1765	
3328	2	Jane Seel	1795	
3345	1	Frances Hart	1779	
3348	1	Bridget Noel	1724	
3356	1	Barbara Mitchell	1722	
3361	1	Ldy. Frances Perceval	1803	
3363	1	Catherine Byres	1800	his cos.
3368	1	Elizabeth Cole	1731	
3369	1	Vct. Bayham	1785	
3370	1	Mary Middleton	1718	
3371	1	Catherine Treby Ourry	1786	
3377	1	Henry Monck		
3379	1	Ldy. Elizabeth Manners		
3379	2	Jane Westenra	1734	
3386	1	Ldy. Margaret Watson	1725	
3387	1	Ldy. Elizabeth Capel	1777	
3390	1	Ldy. Mary Pierrepont	1712	
3391	1	Sally	1730	
3391	2	bigamously Elizabeth Ashe	1751	
3391	3	Catherine Dormer	1762	
3395	1	Edward Wortley Montagu	1712	
3398	1	Harriet Dunch	1735	
3401	1	Ldy. Mary Montgomerie	1803	
3402	1	Miss Smyrna	1791	
3404	1	Elizabeth Le Heup		
3420	1	Clementina Stewart	1783	
3421	1	Ldy. Christian Montgomerie	1737	
3426	1	Ellen Wilson	1750	
3426	2	Catherine More	1768	
3434	1	Ldy. Lucy Wharton	1731	
3434	2	Anna Bury	1741	
3440	1	Hyacinthe Gabrielle Roland	1794	
3440	2	Marianne Caton	1825	
3442	1	Ldy. Georgiana Cavendish	1801	
3448	1	Mary		
3448	2	Elizabeth Jackson	1731	
3449	1	Ldy. Catherine Gordon	1756	
3449	2	Elizabeth Urquhart	1780	
3452	1	Katherine Stanley	1803	
3456	1	Katherine Hamilton	1758	
3460	1	Barbara Slaughter	1780	
3461	1	Margaret Wynne	1766	
3462	1	Sarah Western	1735	
3472	1	Hon. Charlotte Jane Windsor	1766	
3472	2	Frances Coutts	1800	
3483	1	P. Augustus	1793	
3484	1	James Murray of Broughton	1752	
3488	1	Joseph Smith	1757	
3489	1	Amelia Murray of Glencarse	1728	
3490	1	Hon. Wilhelmina King	1784	
3491	1	Sir Alexander Murray of Stanhope	1710	
3492	1	Cordelia Collier		
3492	2	Anne Whitham	1780	
3493	1	Henrietta	1794	
3497	1	Bridget Milbanke	1748	
3498	1	Margaret Ferguson	1738	
3498	2	Miss Webb		
3499	1	Filippo	1769	
3504	1	Ldy. Augusta Mackenzie	1770	
3517	1	Mary Campbell		
3521	1	Mlle de Compigny	1686	
3528	1	Jean Keith		
3537	1	Frances Herbert	1787	
3545	1	Catherine Grenville	1780	
3548	1	Ldy. Catherine Perceval	1766	
3548	2	Maria Stella Petronilla Chiappini	1786	
3549	1	Thomas Clifford	1713	
3549	2	Hon. Charles Radclyffe	1724	
3551	1	Frances Sneyd	1773	
3552	1	Sophia Conyers	1743	
3552	2	Hester Mundy	1776	
3553	1	Grace Burton	1754	
3561	1	Mary Manning		
3562	1	Margaret Coningsby	1730	
3573	1	Ldy. Elizabeth Shirley	1725	
3575	1	Hon. Mary Manners	1777	
3576	1	Ldy. Winifred Herbert	1699	
3584	1	Ldy. Mary Henley	1788	
3588	1	Maria Shireburn	1709	
3593	1	Henrietta Bannister	1771	
3595	1	Ldy. Lucy Montagu	1728	
3595	2	Elizabeth Kaye	1736	
3595	3	Katherine Furnese	1751	
3596	1	Anne Speke	1756	
3600	1	Maria de Yong	1705	
3603	1	Ldy. Anne Somerset (1741-63	1759	
3610	1	Janet Moir	1792	
3611	1	Anna Margaretta Midgeley	1791	
3619	1	Adml. Sir Eliab Hervey	1784	
3623	1	Hon. Elizabeth Venables-Vernon	1765	
3639	1	Margaret Lawrence		
3643	1	Ldy. Emilia Lennox	1774	
3647	1	Elizabeth Wright	1744	
3657	1	Margaret Robertson	1755	
3658	1	Christian Robertson	1795	
3663	1	Anne Billers	1741	
3667	1	Mary Smith	1784	
3668	1	Jean Powlett	1778	
3674	1	Robert	1724	
3674	2	Hon. Sewallis Shirley	1751	
3676	1	Ldy. Anne Hyde	1682	
3676	2	Mary Somerset	1685	
3688	1	Corisande	1806	
3691	1		before 1802	
3705	1	Ldy. Augusta Fane	1809	
3707	1	Sarah Jennings	1741	
3707	2	Charlotte Beaumont	1748	
3708	1	Elizabeth Crow	1773	
3717	1	Frances Poole	1767	
3717	2	Mary Mee	1783	
3721	1	Ldy. Margaret Douglas	1687	
3728	1	Jane Anstruther	1785	
3730	1	Mary Lane	1722	
3730	2	Dorothy Nesbitt	1757	
3731	1	Frances Hort	1764	
3731	2	Hon. Theresa Robinson	1769	
3734	1	Marie-Madeleine Sarner		
3737	1	Miss Edwards	1796	
3737	2	Eliza Breton-Wolstenholme	1807	
3741	1	Mary Gilliatt of Wold Newton	1805	
3742	1	Letitia Charlotte Brooke	1774	
3747	1	Miss Keene	1775	
3751	1	Horton		
3751	2	2nd Vct. Maynard	1776	
3756	1	Elizabeth Colby		
3760	1	Costantia Fontana	1773	
3770	1	Jane Staniforth	1781	
3782	1	Hester Jennings	1784	
3788	1	Hon. Charlotte Monson	1777	
3790	1	Sofia Aufrere	1770	
3792	1	Anne Frankland	1754	
3793	1	Ldy. Mary Osborne	1801	
3799	1	Ldy. Elizabeth Spencer	1756	
3805	1	Anne Susanna Warburton	1765	
3810	1	Anne Knowler	1765	
3810	2	Catherine Judd	1808	
3812	1	Ldy. Jane Leslie	1772	
3812	2	Deborah Askew	1813	
3813	1	Catherine Parker	1710	
3815	1	Isabella Burrell	1775	
3823	1	Elizabeth Sidney	after 1753	
3830	1	Ldy. Jean Gordon	1706	
3831	1	Mary Ormsby	1783	
3832	1	Carey Fraser	1678	
3832	2	Anastasia Robinson	1722	
3834	1	Philip Stanhope	1759	
3843	1	Bridget Skeffington	1738	
3852	1	Mary Philipps	1764	his cos.
3866	1	Frances Ward	1695	
3867	1	Marguerite-Henriette Bontems	1780	
3878	1	Elizabeth Dehany	1772	
3880	1	Henry Thrale	1763	
3880	2	Gabriel Piozzi	1784	
3882	1	William Wyndham Grenville	1792	
3884	1	John Hanham	1761	
3886	1	Penelope Atkins	1746	
3887	1	Marcia Morgan	1753	
3888	1	George Pitt of Stratfield Saye	1746	
3889	1	Anne Wilkinson	1771	
3909	1	Hon. Sarah Archer	1788	
3910	1	Sophia Drake	1763	
3911	1	Charlotte Long	1791	
3916	1	Mary Ann Clee		
3919	1	Hon. Henrietta Louisa Jeffreys	1720	
3924	1	Ldy. Caroline Cavendish	1739	
3925	1	Hon. Louisa Molesworth	1769	
3931	1	Mary Wibault	1774	
3935	1	Martha Ker of Portamara	before 1794	
3938	1	Ldy. Margaret Cavendish	1734	
3958	1	Ldy. Isabella Tufton	1731	
3964	1	Miss Collyer		
3965	1	John Pratt		
3975	1	Mary Sharpe	1733	
3977	1		1746	
3981	1	Hon. Anne Somerset	1714	
3982	1	Ldy. Caroline Carpenter	1774	
3985	1	Hannah Wrench	1718	
3987	1	Anne Drelincourt	1739	
3998	1	Anna Maria Gumley	1714	
4003	1	Dinah Frankland	1745	
4004	1	Ldy. Catherine Hyde	1720	
4009	1	Ldy. Frances Fox Strangways	1777	
4009	2	Margaret Coghlan	1816	
4012	1	Anne Johnson	1711	
4015	1	Charlotte, suo jure Cts. of Newburgh	1724	
4019	1	Ann Edgar	1778	
4021	1	Mary Anne Lane		
4027	1	Anne Bayne	1739	
4027	2	Margaret Lindsay	1752	
4028	1	Marie Du Nairne		
4036	1	Ldy. Flora Mure-Campbell	1804	
4037	1	Ldy. Helena Perceval	1741	
4037	2	Hon. Anne Hill	1746	
4037	3	Ldy. Elizabeth Hastings	1750	
4038	1	Fanny Hall Stevenson	1792	
4044	1	Hon. Mary Blundell	1741	
4049	1	Harriet Barker	1759	
4054	1	Anne Parker		
4059	1	George W. Renner of the British Factory at Leghorn		
4070	1	Maria de Jong	1729	
4071	1	Ldy. Cecil Talbot	1756	
4076	1	Miss Hague 1797		
4085	1	Ldy. Mary Bruce	1757	
4086	1	Elizabeth Maclauchan	1767	
4096	1	Maria Allen	1772	
4108	1	Morris Robinson (d. 1777		
4111	1	Ldy. Elizabeth Howard	1728	
4111	2	Elizabeth Booth	1743	
4113	1	Ldy. Mary Yorke	1780	
4120	1	Miss Perrot		
4126	1	Lucy Young	1740	
4128	1	Elizabeth Tenison	1731	
4128	2	Hon. Mary Molesworth	1736	
4129	1	Katherine Furnese	1736	
4146	1	Susan Ward	1764	
4146	2	Mary Vincent	1775	
4149	1	Catherine Conolly	1754	
4149	2	Alice Clements	1773	
4161	1	Frances Warter-Wilson	1788	
4161	2	Charlotte Whittaker	1792	
4165	1	Ldy. Mary Finch	1708	
4169	1	Frances Berriman	1756	
4169	2	Joanna Law	1772	
4171	1	Sarah Walker of Rumford	1773	
4175	1	Ldy. Anne Compton	1729	
4176	1	Rebecca Bowles	1766	
4181	1	Ldy. Diana Spencer	1731	
4181	2	Ldy. Gertrude Leveson-Gower	1737	
4192	1	Susanna Osborne	1742	
4192	2	Anne		
4194	1	Frances Gower		
4200	1	Ldy. Sophia Thynne	1784	
4200	2	Ldy. Charlotte Percy	1795	
4201	1	Janet Dalrymple		
4202	1	Ldy. Margaret Stewart	1733	
4202	2	Hon. Amelia Murray	1750	
4203	1		1709	
4205	1	1st B. St George	1752	
4205	2	chev. Ducours [Destours]	before 1790	
4206	1	Elizabeth Dominick	1752	
4212	1	Barbara Bladen	1771	
4213	1	2nd Vct. St John	1748	
4214	1	Anne Furnese	1729	
4214	2	Hester Clarke	1748	
4216	1	George Lamb	1809	
4217	1	Mary Butler	1754	
4220	1	4th E. of Salisbury	1683	
4221	1	Ldy. Anne Tufton	1709	
4222	1	Elizabeth Keet	1745	
4223	1	Ldy. Mary Hill	1773	
4233	1	Millicent Fuller	1710	
4233	2	Mary Clarke	1721	
4238	1	Hon. Dorothy Fane	1741	
4241	1	Letitia Tipping	1725	
4254	1	Hon. Tryphena Russell	1725	
4272	1	Eliza Clay	1780	
4273	1	Hon. Frances Digby	1706	
4286	1	Ldy. Mary Mackenzie	after 1718	
4295	1	Elizabeth Hunter		
4297	1	Ldy. Caroline Cowper	1753	
4297	2	Louise Thérèse de Chançay	1775	
4300	1			
4300	2	Anne Binns	1725	
4301	1	Jane Ewer	1709	
4302	1	Barbara Webb	1786	
4309	1	Sarah Gillie	1787	
4309	2	Sarah Stout		
4319	1	Frances Colhoun	1786	
4321	1	Hon. Arabella Boyle	1699	
4322	1	Ldy. Sophia Carteret	1765	
4322	2	Ldy. Louisa Fitzpatrick	1779	
4328	1	Sir John Shelley	1775	
4328	2	John Stewart		
4329	1	Catherine Scawen	1717	
4329	2	Hon. Margaret Pelham	1727	
4335	1	Mary Sidney	1738	
4346	1	Jane Galloway	1768	
4347	1	Margaret Rolle (see Margaret	1751	
4350	1	Cts. Adelaide Paleotti of Bologna	1705	
4351	1	Elizabeth Hoey	1792	
4352	1	Hon. Elizabeth Dormer	1743	
4353	1	Sarah Darker	1782	
4353	2	Julia Evelyn	1785	
4354	1	Sarah Hayward	1750	
4355	1	Emma Cole	1703	
4366	1	Hon. Janet Sutherland	1740	
4384	1	Selina Shirley	1785	
4386	1	Jane Sumner	1764	
4386	2	Julia Siordet	1776	
4392	1	Sarah Fuller	1772	
4399	1	Charlotte Izard	1809	
4411	1	Christian		
4417	1	Catherine Tofts	1717	
4417	2	Elizabeth Murray	1757	
4424	1	Mary Lockyer	1777	
4432	1	Ldy. Elizabeth Seymour	1740	
4434	1	Nancy Lascelles of Jamaica	1747	
4439	1	Ldy. Georgiana Fitzroy	1778	
4441	1	Charlotte Blake	1776	
4443	1	Maria Giffard	1743	
4443	2	Hon. Mary Clifford	1766	
4444	1	Catherine Holford	1781	
4452	1	Charles Manners	1775	
4461	1	Ld.y Margaret Stewart	1713	
4462	1	Hon. Catherine Watson	1729	
4463	1	Sophia Campbell	1765	
4464	1	Sophia Walsh	1774	
4472	1	Hon. Mary Beauclerk	1762	
4473	1	Hon. Lavinia Bingham	1781	
4475	1	Margaret Georgiana Poyntz	1755	
4477	1	Henrietta Fawkener	1811	
4482	1	Susanna Acton		
4486	1	Henrietta Cantillon	1743	
4488	1	Anne Holman	1718	his cos.
4495	1	Lucy Pitt	1713	
4496	1	Grisell Hamilton	1745	
4497	1	secretly c.1759 Eugenia Peters		
4499	1	Susanna Rudge	1721	
4499	2	Elizabeth Crowley	1745	
4499	3	Anne Delaval	1759	
4503	1	Margaret Owen of Penrhos	1763	
4504	1	Hon. Maria Holroyd	1796	
4509	1	Harriet Conolly	1764	
4509	2	Hon. Henrietta Molesworth	1774	
4511	1	Elizabeth Eliot	1791	
4514	1	Mary O'Grady	1772	
4514	2	Mary Digby	1794	
4525	1	Sir Thomas Stepney	before 1742	
4528	1	Elizabeth Lumley	1741	
4530	1	Ldy. Frances Wemyss	1743	
4536	1	Anne Stevenson	before 1740	
4541	1	Ldy. Mary Moore	1791	
4545	1	Hon. Elizabeth Molesworth	1774	
4546	1	Mary Mercer		
4550	1	Frances Coutts	1778	
4552	1	Georgina D'Aguilar	1782	
4553	1	Alexander Trotter		
4554	1	John Coxe Hippisley	1780	
4555	1	Ldy. Sarah Seymour-Conway	1766	
4555	2	Ldy. Frances Pratt	1775	
4566	1	Elizabeth Smith	1727	
4567	1	Mary Powys	1762	
4571	1	Henrietta de Bunau	1759	
4571	2	Hon. Louisa Cathcart	1776	
4573	1	Hon. Mary Langdale	1775	
4574	1	Catherine Weld	1800	
4582	1	Ldy. Anne Campbell	1741	
4584	1	Sarah Gould	1760	
4585	1	Isabella Lumisden	1747	
4587	1	Thomas Horner who assumed additional name of Strangways 1726	1713	
4588	1	Mary Eleanor Bowes and changed name from Lyon to Bowes	1767	
4589	1	4th E. of Strathmore [S]	1725	
4589	2	George Forbes	1745	
4593	1	Elisabeth Winn	1751	
4596	1	Anastasia Lawson	1789	
4596	2	Catherine Gerard		
4597	1	Ldy. Anne Cecil	1736	
4600	1	Margaret Stirling	1790	
4605	1	Hon. Louisa Bertie	1778	
4611	1	Margaret Cunynghame	1767	
4616	1	Sophia Penn	1796	
4624	1	Hon. Catherine Annesley	1760	
4624	2	Anne Knight	1771	
4624	3	Elizabeth Underwood	1781	
4634	1	Ann Dunk and took additional name of Dunk	1741	
4635	1	Philippa Rooper	1778	
4637	1	Dorothea Steele		his cos.
4642	1	George Leveson-Gower	1785	
4643	1	Mary Maxwell	1761	
4647	1	George Markham		
4647	2	John Pulteney	1803	
4653	1	Christiana Dillon	1761	
4655	1	Martha Baker	1767	
4659	1	Arabella Astley	1748	
4666	1	Jane Seton of Parbroath	1770	
4666	2	Ann Elizabeth Martin		
4668	1	Ldy. Elizabeth Somerset	1796	
4671	1	Ldy. Charlotte Hill	1776	
4675	1	Ldy. Mary Lucy Fox Strangways	1794	
4678	1	Frances Cokayne	1718	
4680	1	Penelope Assheton Smith	1776	
4684	1	Barbara Fitzherbert		
4691	1	Ldy. Elizabeth Keppel	1764	
4692	1	Margaret Payler	1769	
4696	1	Elizabeth Godden	1778	
4709	1	Elizabeth Lee	1735	
4709	2	Jane Barnard	1738	
4713	1	Clotworthy Upton	1769	
4718	1	Catharine Powell	1733	
4718	2	Anne Brinckhurst	1766	
4718	3	Elizabeth Newport	1772	
4722	1	Anne Charlotte de Bojanovitz	1811	
4753	1		1781	
4755	1	Eleanor Lynne	1779	
4761	1	Catharine Stapleton	1792	
4762	1	Maria Catherine Giffard	1782	
4763	1	Ldy. Theresa Herbert		
4763	2	Catherine Collingwood	1738	
4763	3	Lucy Heywood	1763	
4764	1	Ldy. Mary Villiers		
4765	1	Elizabeth Lucy Plowden	1778	
4767	1	Ursula Boiseir		
4768	1	Barbara Borr		
4769	1	Catherine Morgan	1785[?]	
4779	1	Mary Singleton	1736	
4780	1	Ldy. Dorothy Cavendish	1766	
4781	1	Henrietta Scott	1795	
4783	1	Joseph Smith	1717	
4796	1	Ldy. Lucy Boyle	1765	
4802	1	Hon. Mary Widdrington	1713	
4803	1	Ann Eccleston		
4809	1	Ldy. Charlotte Compton	1751	
4809	2	Anne Montgomery	1773	
4814	1	Margaret Black	1766	
4838	1	Maria Wilson	1791	
4839	1	Harriet Burton	1773	
4848	1	Frances Northall	1787	
4853	1	Anna Meeke	1748	
4854	1	Elizabeth Cressener	1717	
4856	1	Ldy. Mary Saville	1722	
4857	1	Hon. Mary Sackville	1767[?]	
4859	1	Susanna Smith	1699	
4863	1	Elizabeth Wombwell		
4863	2	Mary Shuttleworth	1771	
4864	1	Frances Howell	1785	
4872	1	Elizabeth Ferne		
4873	1	Elizabeth Broke	1795	
4873	2	Dorothea Tucker	1803	
4875	1	Mary Kitchingman		
4878	1	Ldy. Frances Carteret	1748	
4886	1	Ldy. Susanna Hussey	1805	
4893	1	Selina Shore Clevland	1777	
4895	1	Miss Hougham		
4895	2	Margaret [Martha] Jordan		
4900	1	Hon. Anne Liddell	1769	
4901	1	Elizabeth Boughton	1769	
4918	1	Ldy. Henrietta Wentworth	1743	
4931	1	Frances Twysden	1770	
4932	1	Ld Henry Stuart	1802	
