index	sequence	spouse	year	relative
313	2	Hon. Isabella Ingram Shepheard	1776	
316	1	Mary Palmer	1778	
317	1	Catherine Newton		
318	1	Ldy. Catherine Ponsonby	1763	
319	2	Louisa Manners	1802	
319	1	Jane Moses	1788	
320	1	Emily Ogilvie	1799	
322	1	Ldy. Diana Spencer	1768	
323	1	Mary Chambers	1736	
324	1	4th D. of Beaufort	1740	
325	1	Hon. Frances Scudamore	1729	
326	1	Elizabeth Jenks	1773	
329	1	Margaret Willes	1778	
330	1	Diana Wentworth Blackett who suc. to Hexham Abbey	1792	
332	1	Louisa Pitt	1773	
334	1	Ldy. Margaret Gordon (d. 1786	1783	
335	1	Dorothy Sawbridge	1758	
340	1	Ldy. Elizabeth Boyle	1719	
341	1	Susanna Clervet of Pontoise	1744	
347	1	Ldy. Eleanor Egerton	1794	
352	1	Ldy. Anne Maxwell	1731	
352	2	Mary Fitzgerald	1737	
352	3	Ldy. Henrietta Lee	1749	
357	1	B. Belfield [I] see Robert Rochfort	1736	
366	1	John Abbot DD		
366	2	Jeremiah Bentham (d. 1792		
367	1	Mary Davies	1753	
368	1	Cts. Charlotte Sophie of Oldenburg		
376	1	4th E. of Berkeley	1744	
376	2	1st E. Nugent [I]	1757	
377	1	Mary Cole	1796	
378	1	Anne Forster	1728	
380	1	Elizabeth -		
382	1	Matthys Lestevenon van Berkenrode	1741	
393	1	Elizabeth Seton	1762	
395	1	4th E. of Cholmondeley	1791	
397	1	Miss Hutchins	1790	
398	1	Anna Collins	1727	
401	1	Noel Hill who was cr. B. Berwick 1784	1768	
402	1	Ldy. Honora de Burgh	1695	
402	2	Anne Bulkeley	1700	
403	1	Sophia Dubochet	1812	
406	1	Anne Cope		
411	1		1772	
412	1	James Billington	1783	
412	2	Felissent or Felican	1798	
413	1	Elizabeth Weichsell	1783	
419	1	Rachel Baillie	1715	
429	1	Phoebe		
434	1	Harriet Anne Southwell	1782	
440	1	Ireland Green	1753	
443	1	Mary Ann Keene	1801	
445	1	Elizabeth Herne	1697	
448	1	Anne Shakespear	1777	
449	1	Charles Blair		
451	1	Grisel Main		
462	1		1718	
463	1		1747	
465	1	Mary Stoyte	1766	
468	1	Sarah Thornhill	1762	
468	2	Lucretia Offley	1772	
473	1	Miss Cotham		
474	1	Sir Walter Blount	1766	her cos.
475	1	Elizabeth Mostyn	1760	
479	1	3rd Vct. Bolingbroke	1783	
480	1	Ldy. Diana Spencer	1757	
487	1	Anne Evelyn	1736	
490	1	Susanna Bristoe	1784	
495	1	Ldy. Augusta Fane	1804	
495	2	Frances Talbot	1809	
500	1	Mary	1733	
501	1	Eleanor Hunter	1767	
506	1	Diana Wentworth	1739	
507	1	Miss Wilson		
509	1	Margaret Montgomerie	1769	
510	1	Anne Goodwin		
513	1	Catherine Hall	1782	
515	1	Mary Bellwood	1724	
520	1	Harriet Fawkener	1764	
524	1	Mrs Trevennon	1806	
526	1	Sarah Bowdoin	1781	
527	1	niece of Bp. William Nicolson	1749	
536	1	Mary Bamstead of Upton		
536	2	Catherine Chapone		
540	1	dau. of Bp. Benjamin Hoadly		
541	1	Sarah Hyde	1798	
544	1	Ldy. Elizabeth Churchill	1703	
544	2	Ldy. Rachel Russell	1722	
547	1		1790s	
547	2	Miss Adham	1800	
549	1	Miss Bolton	1816	
553	1	Ldy. Caroline Pierrepont	1749	
555	1	Gertrude Roper	1771	
557	1	Barbarina Ogle	1819	
559	1	Frances Hawksworth	1794	
562	1	Mary Turner Gavin	1793	
572	1	Susanna Barker		
573	1	Fanny Fowler	1765	
579	1	Vct. Brackley	1722	
579	2	Sir Richard Lyttelton	1745	
587	1	Elizabeth Davers	1752	
591	1	Susannah Phillipson	1746	
591	2	Mary Harding		
598	1	Ldy. Mary Capell	1729	
601	1	Jemima Tulikens Jones	1768	
604	1	Lucy Throckmorton	1724	
610	1	Hon. Elizabeth Hamilton	1742	
613	1	Maria Broughton	1790	
620	1		1786	
621	1	Elizabeth Eaton		
622	1	Sir Brian Broughton-Delves		
622	2	Henry Errington	1769	
623	1	Mary Wicker	1766	
623	2	Ldy. Anne Windsor dau. of 4th E. of Plymouth	1787	
623	3	Mary Keating	1794	
632	1	Frances Fuller	1788	
637	1	Margaret Cecil	1725	
643	1	Henrietta Hay	1788	
643	2	Elizabeth Boddington	1805	
644	1	Frances	before 1753	
645	1	Henrietta Clayton	1803	
649	1	Eleanor Brownlow	1712	
649	2	Elizabeth Cartwright	1732	
654	1	Hon. Henrietta Hill	1793	
654	2	Maria Tollemache	1833	
656	1	Adriana Allan	1754	
656	2	Mary Dundas	1776	
659	1	Susanna Hoare	1761	
659	2	Ldy. Anne Rawdon	1788	
662	1	Ldy. Elizabeth Bruce	1707	
663	1	Susan Burton		
666	1		1799	
670	1	Mary Robertson	1786	
673	1	Ldy. Elizabeth Montagu	1767	
680	1	3rd E. of Anglesey	1699	
680	2	1st D. of Buckingham	1706	
685	1	Mary Jane Clermont	after 1741	
687	1	Jane Owen	1732	
688	1	Elizabeth Harriet Warren	1777	
689	1	Anne Buller	1791	his cos.
690	1	James Buller	1770	
693	1	Catherine Horneck	1771	
694	1	Ldy. Sarah Lennox	1762	
694	2	Margaret Cocksedge		
698	1	Sophia Coutts	1793	
699	1	Margaret Brandling	1780	
699	2	Cotsford Mathews	1794	
700	1	Lucy Werden	1722	
703	1	Hon. Elizabeth Noel	1777	
703	2	Anne Montolieu	1780	
703	3	Ldy. Margaret Lindsay	1812	
704	1	Ann Roberts of Deal		
705	1	Ldy. Charlotte Stanley	1743	
707	1	Ldy. Dorothy Saville	1721	
710	1	Anna Edwyn	1770	
713	1	Esther Sleepe	1749	
713	2	Mrs Stephen Allen	1767	
718	1	Elizabeth Clements	1750	
720	1	Anne Campbell	1708	
720	2	Mary Hinde		
722	1	Catherine Maria Dawson	1798	
725	1	Mary Wortley Montagu	1736	
728	1	Ldy. Jane Rochfort	1754	
732	1	Anne March see Maj. Robert Browne	1800	
740	1	Eleanor Hope	1750	
741	1	Margaret Master	1691	
742	1	Elizabeth Daniel	1736	
744	1	Ldy. Charlotte Montagu	1724	
745	1	Elizabeth Forward	1734	
746	1	Robert Sandilands		
748	1	Janet Moir	1733	
753	1	Henry Lyon of Neston		
760	1	Margaret Steuart	1735	
761	1	Elizabeth Hort	1753	
767	1	Martha Smith	1732	
772	1	O'Neal		
782	1	Ldy. Isabella Howard	1789	
783	1	Ld. William Campbell	1763	
785	1	Barbara Courthorpe of Danny		
787	1	Catherine Giffard		
790	1	Mary Anne Mahony	1722	
799	1	Hannah Foy	1782	
801	1	Ldy. Margaret Leveson-Gower	1770	
803	1	Ldy. Frances Spencer	1717	
803	2	Hon. Isabella Byron	1743	
804	1	4th E. of Carlisle	1743	
804	2	Sir William Musgrave	1759	
806	1	Ldy. Amelia Darcy	1773	
806	2	Catherine Anguish	1788	
807	1	Ldy. Charlotte Townshend	1797	
